T/Tc	1-T/Tc	l	K	G	K/K0
0.1	0.9	0	7.47853	8.80373e-33	1
0.1	0.9	0.0001	7.47853	13.7377	1
0.1	0.9	0.0002	7.45982	-19.6397	0.997498
0.1	0.9	0.0003	7.47926	16.6843	1.0001
0.1	0.9	0.0004	7.46977	-9.7989	0.998829
0.1	0.9	0.0005	7.47136	4.06697	0.999041
0.1	0.9	0.0006	7.47107	-1.15541	0.999002
0.1	0.9	0.0007	7.47077	0.205204	0.998963
0.1	0.9	0.0008	7.47048	-0.0169755	0.998924
0.1	0.9	0.0009	7.47019	0.000420547	0.998885
0.1	0.9	0.01	7.44381	0.000402042	0.995358
0.1	0.9	0.02	7.4153	0.000382651	0.991544
0.1	0.9	0.03	7.38726	0.000364203	0.987796
0.1	0.9	0.04	7.3597	0.000346652	0.98411
0.1	0.9	0.05	7.33259	0.000329953	0.980486
0.1	0.9	0.06	7.30594	0.000314064	0.976921
0.1	0.9	0.07	7.27972	0.000298946	0.973416
0.1	0.9	0.08	7.25393	0.000284561	0.969967
0.1	0.9	0.09	7.22856	0.000270874	0.966575
0.1	0.9	0.1	7.2036	0.000257849	0.963237
0.1	0.9	0.11	7.17904	0.000245456	0.959953
0.1	0.9	0.12	7.15486	0.000233662	0.956721
0.1	0.9	0.13	7.13107	0.000222439	0.95354
0.1	0.9	0.14	7.10766	0.000211759	0.950409
0.1	0.9	0.15	7.08461	0.000201595	0.947326
0.1	0.9	0.16	7.06192	0.000191923	0.944292
0.1	0.9	0.17	7.03957	0.000182718	0.941305
0.1	0.9	0.18	7.01757	0.000173957	0.938363
0.1	0.9	0.19	6.99591	0.000165619	0.935466
0.1	0.9	0.2	6.97457	0.000157683	0.932613
0.1	0.9	0.21	6.95356	0.00015013	0.929802
0.1	0.9	0.22	6.93285	0.000142942	0.927034
0.1	0.9	0.23	6.91246	0.000136099	0.924307
0.1	0.9	0.24	6.89237	0.000129587	0.921621
0.1	0.9	0.25	6.87257	0.000123388	0.918974
0.1	0.9	0.26	6.85307	0.000117487	0.916365
0.1	0.9	0.27	6.83384	0.00011187	0.913795
0.1	0.9	0.28	6.8149	0.000106524	0.911262
0.1	0.9	0.29	6.79622	0.000101434	0.908765
0.1	0.9	0.3	6.77782	9.65897e-05	0.906303
0.1	0.9	0.31	6.75967	9.19777e-05	0.903877
0.1	0.9	0.32	6.74179	8.75872e-05	0.901485
0.1	0.9	0.33	6.72415	8.34076e-05	0.899127
0.1	0.9	0.34	6.70676	7.94286e-05	0.896802
0.1	0.9	0.35	6.68961	7.56405e-05	0.894509
0.1	0.9	0.36	6.67271	7.20341e-05	0.892248
0.1	0.9	0.37	6.65603	6.86006e-05	0.890018
0.1	0.9	0.38	6.63958	6.53317e-05	0.887819
0.1	0.9	0.39	6.62336	6.22195e-05	0.88565
0.1	0.9	0.4	6.60736	5.92563e-05	0.88351
0.1	0.9	0.41	6.59157	5.6435e-05	0.881399
0.1	0.9	0.42	6.576	5.37488e-05	0.879317
0.1	0.9	0.43	6.56063	5.11912e-05	0.877262
0.1	0.9	0.44	6.54547	4.87559e-05	0.875234
0.1	0.9	0.45	6.53051	4.64371e-05	0.873234
0.1	0.9	0.46	6.51574	4.42291e-05	0.87126
0.1	0.9	0.47	6.50117	4.21267e-05	0.869312
0.1	0.9	0.48	6.48679	4.01247e-05	0.867389
0.1	0.9	0.49	6.4726	3.82184e-05	0.865491
0.1	0.9	0.5	6.45859	3.6403e-05	0.863618
0.1	0.9	0.51	6.44476	3.46744e-05	0.861769
0.1	0.9	0.52	6.43111	3.30282e-05	0.859944
0.1	0.9	0.53	6.41764	3.14606e-05	0.858142
0.1	0.9	0.54	6.40433	2.99678e-05	0.856362
0.1	0.9	0.55	6.3912	2.85461e-05	0.854606
0.1	0.9	0.56	6.37822	2.71922e-05	0.852871
0.1	0.9	0.57	6.36542	2.59029e-05	0.851159
0.1	0.9	0.58	6.35277	2.46749e-05	0.849467
0.1	0.9	0.59	6.34028	2.35055e-05	0.847797
0.1	0.9	0.6	6.32794	2.23917e-05	0.846147
0.1	0.9	0.61	6.31575	2.13309e-05	0.844518
0.1	0.9	0.62	6.30372	2.03207e-05	0.842909
0.1	0.9	0.63	6.29183	1.93585e-05	0.841319
0.1	0.9	0.64	6.28009	1.8442e-05	0.839749
0.1	0.9	0.65	6.26849	1.75692e-05	0.838198
0.1	0.9	0.66	6.25703	1.67378e-05	0.836666
0.1	0.9	0.67	6.24571	1.5946e-05	0.835152
0.1	0.9	0.68	6.23452	1.51917e-05	0.833656
0.1	0.9	0.69	6.22347	1.44734e-05	0.832178
0.1	0.9	0.7	6.21255	1.37891e-05	0.830718
0.1	0.9	0.71	6.20176	1.31373e-05	0.829275
0.1	0.9	0.72	6.19109	1.25164e-05	0.827849
0.1	0.9	0.73	6.18055	1.19251e-05	0.82644
0.1	0.9	0.74	6.17014	1.13617e-05	0.825047
0.1	0.9	0.75	6.15984	1.08251e-05	0.82367
0.1	0.9	0.76	6.14967	1.0314e-05	0.82231
0.1	0.9	0.77	6.13961	9.82704e-06	0.820965
0.1	0.9	0.78	6.12967	9.3632e-06	0.819636
0.1	0.9	0.79	6.11985	8.92133e-06	0.818322
0.1	0.9	0.8	6.11014	8.5004e-06	0.817024
0.1	0.9	0.81	6.10053	8.09941e-06	0.81574
0.1	0.9	0.82	6.09104	7.71741e-06	0.81447
0.1	0.9	0.83	6.08166	7.3535e-06	0.813215
0.1	0.9	0.84	6.07238	7.00681e-06	0.811975
0.1	0.9	0.85	6.0632	6.67653e-06	0.810748
0.1	0.9	0.86	6.05413	6.36187e-06	0.809535
0.1	0.9	0.87	6.04516	6.0621e-06	0.808335
0.1	0.9	0.88	6.03629	5.77651e-06	0.807149
0.1	0.9	0.89	6.02752	5.50442e-06	0.805976
0.1	0.9	0.9	6.01884	5.2452e-06	0.804817
0.1	0.9	0.91	6.01027	4.99822e-06	0.803669
0.1	0.9	0.92	6.00178	4.76292e-06	0.802535
0.1	0.9	0.93	5.99339	4.53873e-06	0.801413
0.1	0.9	0.94	5.98509	4.32513e-06	0.800303
0.1	0.9	0.95	5.97688	4.12162e-06	0.799206
0.1	0.9	0.96	5.96876	3.92772e-06	0.79812
0.1	0.9	0.97	5.96073	3.74298e-06	0.797046
0.1	0.9	0.98	5.95279	3.56695e-06	0.795983
0.1	0.9	0.99	5.94493	3.39923e-06	0.794932
0.1	0.9	1	5.93715	3.23942e-06	0.793893

t = 3

T/Tc	1-T/Tc	l	K	G	K/K0
0.1	0.9	0	7.47853	8.80373e-33	1
0.1	0.9	0.0001	7.47853	9966.72	1
0.1	0.9	0.0002	2.79616	-15874.2	0.373891
0.1	0.9	0.0003	8.35226	16235.9	1.11683
0.1	0.9	0.0004	0.0843836	-12584.8	0.0112835
0.1	0.9	0.0005	0.0852595	7754.52	0.0114006
0.1	0.9	0.0006	0.0848936	-3834.99	0.0113516
0.1	0.9	0.0007	0.0849973	1516.18	0.0113655
0.1	0.9	0.0008	0.0849788	-471.316	0.011363
0.1	0.9	0.0009	0.0849804	111.608	0.0113632
0.1	0.9	0.01	0.0849769	0.000402042	0.0113628
0.1	0.9	0.02	0.0849732	0.000382652	0.0113623
0.1	0.9	0.03	0.0849695	0.000364204	0.0113618
0.1	0.9	0.04	0.0849659	0.000346652	0.0113613
0.1	0.9	0.05	0.0849622	0.000329953	0.0113608
0.1	0.9	0.06	0.0849586	0.000314064	0.0113603
0.1	0.9	0.07	0.0849551	0.000298946	0.0113599
0.1	0.9	0.08	0.0849516	0.000284561	0.0113594
0.1	0.9	0.09	0.0849481	0.000270874	0.0113589
0.1	0.9	0.1	0.0849446	0.00025785	0.0113585
0.1	0.9	0.11	0.0849412	0.000245456	0.011358
0.1	0.9	0.12	0.0849378	0.000233662	0.0113576
0.1	0.9	0.13	0.0849344	0.000222439	0.0113571
0.1	0.9	0.14	0.0849311	0.000211759	0.0113567
0.1	0.9	0.15	0.0849278	0.000201596	0.0113562
0.1	0.9	0.16	0.0849245	0.000191923	0.0113558
0.1	0.9	0.17	0.0849213	0.000182718	0.0113553
0.1	0.9	0.18	0.0849181	0.000173957	0.0113549
0.1	0.9	0.19	0.0849149	0.000165619	0.0113545
0.1	0.9	0.2	0.0849117	0.000157683	0.0113541
0.1	0.9	0.21	0.0849086	0.000150131	0.0113536
0.1	0.9	0.22	0.0849055	0.000142942	0.0113532
0.1	0.9	0.23	0.0849024	0.000136099	0.0113528
0.1	0.9	0.24	0.0848994	0.000129587	0.0113524
0.1	0.9	0.25	0.0848964	0.000123388	0.011352
0.1	0.9	0.26	0.0848934	0.000117487	0.0113516
0.1	0.9	0.27	0.0848904	0.00011187	0.0113512
0.1	0.9	0.28	0.0848875	0.000106524	0.0113508
0.1	0.9	0.29	0.0848846	0.000101435	0.0113504
0.1	0.9	0.3	0.0848817	9.65897e-05	0.0113501
0.1	0.9	0.31	0.0848789	9.19777e-05	0.0113497
0.1	0.9	0.32	0.084876	8.75873e-05	0.0113493
0.1	0.9	0.33	0.0848732	8.34076e-05	0.0113489
0.1	0.9	0.34	0.0848705	7.94286e-05	0.0113485
0.1	0.9	0.35	0.0848677	7.56405e-05	0.0113482
0.1	0.9	0.36	0.084865	7.20341e-05	0.0113478
0.1	0.9	0.37	0.0848623	6.86006e-05	0.0113475
0.1	0.9	0.38	0.0848596	6.53317e-05	0.0113471
0.1	0.9	0.39	0.0848569	6.22195e-05	0.0113467
0.1	0.9	0.4	0.0848543	5.92563e-05	0.0113464
0.1	0.9	0.41	0.0848517	5.64351e-05	0.011346
0.1	0.9	0.42	0.0848491	5.37489e-05	0.0113457
0.1	0.9	0.43	0.0848465	5.11912e-05	0.0113454
0.1	0.9	0.44	0.084844	4.87559e-05	0.011345
0.1	0.9	0.45	0.0848415	4.64371e-05	0.0113447
0.1	0.9	0.46	0.084839	4.42291e-05	0.0113443
0.1	0.9	0.47	0.0848365	4.21267e-05	0.011344
0.1	0.9	0.48	0.0848341	4.01247e-05	0.0113437
0.1	0.9	0.49	0.0848316	3.82184e-05	0.0113434
0.1	0.9	0.5	0.0848292	3.64031e-05	0.011343
0.1	0.9	0.51	0.0848268	3.46744e-05	0.0113427
0.1	0.9	0.52	0.0848245	3.30283e-05	0.0113424
0.1	0.9	0.53	0.0848221	3.14606e-05	0.0113421
0.1	0.9	0.54	0.0848198	2.99678e-05	0.0113418
0.1	0.9	0.55	0.0848175	2.85461e-05	0.0113415
0.1	0.9	0.56	0.0848152	2.71922e-05	0.0113412
0.1	0.9	0.57	0.0848129	2.59029e-05	0.0113409
0.1	0.9	0.58	0.0848107	2.46749e-05	0.0113406
0.1	0.9	0.59	0.0848084	2.35055e-05	0.0113403
0.1	0.9	0.6	0.0848062	2.23917e-05	0.01134
0.1	0.9	0.61	0.084804	2.1331e-05	0.0113397
0.1	0.9	0.62	0.0848019	2.03207e-05	0.0113394
0.1	0.9	0.63	0.0847997	1.93585e-05	0.0113391
0.1	0.9	0.64	0.0847976	1.8442e-05	0.0113388
0.1	0.9	0.65	0.0847954	1.75692e-05	0.0113385
0.1	0.9	0.66	0.0847933	1.67378e-05	0.0113382
0.1	0.9	0.67	0.0847913	1.5946e-05	0.011338
0.1	0.9	0.68	0.0847892	1.51918e-05	0.0113377
0.1	0.9	0.69	0.0847871	1.44734e-05	0.0113374
0.1	0.9	0.7	0.0847851	1.37891e-05	0.0113371
0.1	0.9	0.71	0.0847831	1.31373e-05	0.0113369
0.1	0.9	0.72	0.0847811	1.25164e-05	0.0113366
0.1	0.9	0.73	0.0847791	1.19251e-05	0.0113363
0.1	0.9	0.74	0.0847772	1.13617e-05	0.0113361
0.1	0.9	0.75	0.0847752	1.08251e-05	0.0113358
0.1	0.9	0.76	0.0847733	1.0314e-05	0.0113356
0.1	0.9	0.77	0.0847714	9.82704e-06	0.0113353
0.1	0.9	0.78	0.0847695	9.3632e-06	0.011335
0.1	0.9	0.79	0.0847676	8.92133e-06	0.0113348
0.1	0.9	0.8	0.0847657	8.50041e-06	0.0113345
0.1	0.9	0.81	0.0847639	8.09941e-06	0.0113343
0.1	0.9	0.82	0.084762	7.71741e-06	0.0113341
0.1	0.9	0.83	0.0847602	7.3535e-06	0.0113338
0.1	0.9	0.84	0.0847584	7.00681e-06	0.0113336
0.1	0.9	0.85	0.0847566	6.67653e-06	0.0113333
0.1	0.9	0.86	0.0847548	6.36187e-06	0.0113331
0.1	0.9	0.87	0.0847531	6.0621e-06	0.0113329
0.1	0.9	0.88	0.0847513	5.77651e-06	0.0113326
0.1	0.9	0.89	0.0847496	5.50442e-06	0.0113324
0.1	0.9	0.9	0.0847479	5.2452e-06	0.0113322
0.1	0.9	0.91	0.0847462	4.99822e-06	0.0113319
0.1	0.9	0.92	0.0847445	4.76292e-06	0.0113317
0.1	0.9	0.93	0.0847428	4.53873e-06	0.0113315
0.1	0.9	0.94	0.0847412	4.32513e-06	0.0113313
0.1	0.9	0.95	0.0847395	4.12162e-06	0.011331
0.1	0.9	0.96	0.0847379	3.92772e-06	0.0113308
0.1	0.9	0.97	0.0847363	3.74298e-06	0.0113306
0.1	0.9	0.98	0.0847346	3.56695e-06	0.0113304
0.1	0.9	0.99	0.0847331	3.39923e-06	0.0113302
0.1	0.9	1	0.0847315	3.23942e-06	0.01133

t = 4

T/Tc	1-T/Tc	l	K	G	K/K0
0.1	0.9	0	7.47853	8.80373e-33	1
0.1	0.9	0.0001	7.47853	-nan	1
0.1	0.9	0.0002	-9.26444e+40	-nan	-1.2388e+40
0.1	0.9	0.0003	inf	-nan	inf
0.1	0.9	0.0004	-nan	-nan	-nan
0.1	0.9	0.0005	-nan	-nan	-nan
0.1	0.9	0.0006	-nan	-nan	-nan
0.1	0.9	0.0007	-nan	-nan	-nan
0.1	0.9	0.0008	-nan	-nan	-nan
0.1	0.9	0.0009	-nan	-nan	-nan
0.1	0.9	0.01	-nan	-nan	-nan
0.1	0.9	0.02	-nan	-nan	-nan
0.1	0.9	0.03	-nan	-nan	-nan
0.1	0.9	0.04	-nan	-nan	-nan
0.1	0.9	0.05	-nan	-nan	-nan
0.1	0.9	0.06	-nan	-nan	-nan
0.1	0.9	0.07	-nan	-nan	-nan
0.1	0.9	0.08	-nan	-nan	-nan
0.1	0.9	0.09	-nan	-nan	-nan
0.1	0.9	0.1	-nan	-nan	-nan
0.1	0.9	0.11	-nan	-nan	-nan
0.1	0.9	0.12	-nan	-nan	-nan
0.1	0.9	0.13	-nan	-nan	-nan
0.1	0.9	0.14	-nan	-nan	-nan
0.1	0.9	0.15	-nan	-nan	-nan
0.1	0.9	0.16	-nan	-nan	-nan
0.1	0.9	0.17	-nan	-nan	-nan
0.1	0.9	0.18	-nan	-nan	-nan
0.1	0.9	0.19	-nan	-nan	-nan
0.1	0.9	0.2	-nan	-nan	-nan
